ID,RATE,GRADE,TinGRADE,SEX
1,865.38 ,2,1.5 ,0
2,819.90 ,4,0.5 ,0
3,675.00 ,2,1.5 ,0
4,1494.24 ,8,1.5 ,1
5,729.72 ,4,0.5 ,1
6,709.50 ,2,1.5 ,0
7,692.31 ,2,1.1 ,0
8,722.64 ,3,0.5 ,0
9,726.93 ,2,0.8 ,0
10,692.31 ,2,1.5 ,0
11,1142.31 ,6,0.5 ,1
12,1413.45 ,8,0.5 ,1
13,795.00 ,3,1.5 ,0
14,825.00 ,3,1.5 ,1
15,867.00 ,4,0.5 ,0
16,778.86 ,3,0.5 ,0
17,1057.38 ,5,0.5 ,1
18,705.57 ,1,1.5 ,0
19,1052.31 ,7,0.5 ,1
20,735.00 ,2,0.5 ,0
21,780.00 ,2,1.5 ,0
22,1254.81 ,7,0.5 ,1
23,1263.99 ,7,5.0 ,1
24,692.31 ,2,0.7 ,0
25,946.17 ,6,2.5 ,0
26,1409.85 ,8,5.0 ,1
27,747.00 ,2,1.5 ,0
28,789.00 ,2,2.5 ,0
29,1110.00 ,7,1.5 ,1
30,923.10 ,5,0.5 ,0
31,692.31 ,2,0.2 ,0
32,648.00 ,1,1.3 ,0
33,1067.31 ,7,1.5 ,0
34,870.00 ,5,2.5 ,1
35,882.48 ,5,2.5 ,0
36,885.00 ,3,1.5 ,1
37,909.00 ,3,0.5 ,1
38,1035.42 ,7,0.5 ,0
39,657.69 ,1,2.2 ,0
40,859.62 ,4,1.5 ,1
41,616.17 ,2,0.8 ,0
42,924.00 ,6,2.5 ,0
43,928.86 ,5,1.5 ,1
44,761.55 ,3,0.6 ,0
45,1223.10 ,7,2.5 ,1
46,907.20 ,4,3.5 ,1
47,1119.24 ,7,4.5 ,1
48,1050.00 ,4,0.5 ,0
49,1500.00 ,7,4.5 ,1
50,739.62 ,5,0.7 ,1
51,1182.72 ,8,0.5 ,0
52,990.00 ,5,2.5 ,0
53,1368.24 ,7,5.0 ,1
54,1384.62 ,8,0.5 ,1
55,834.00 ,3,0.5 ,0
56,1263.48 ,7,5.0 ,1
57,1153.86 ,6,5.0 ,1
58,1263.48 ,7,5.0 ,1
59,813.60 ,5,1.5 ,0
60,825.00 ,3,1.5 ,1
61,840.00 ,3,5.0 ,0
62,692.31 ,2,0.3 ,0
63,836.55 ,3,0.9 ,0
64,813.48 ,4,0.5 ,0
65,963.45 ,7,2.5 ,0
66,747.00 ,2,2.5 ,0
67,915.57 ,6,0.5 ,0
68,951.93 ,3,1.5 ,0
69,830.76 ,3,0.5 ,1
70,853.83 ,3,1.5 ,0
71,660.45 ,2,0.9 ,0
72,1174.14 ,6,0.5 ,1
73,1056.60 ,6,3.5 ,1
74,1230.00 ,7,1.5 ,1
75,628.26 ,1,1.0 ,0
76,761.55 ,2,1.6 ,0
77,885.00 ,5,0.5 ,0
78,865.38 ,4,0.1 ,0
79,1176.93 ,5,3.5 ,1
80,825.00 ,3,1.5 ,0
81,848.10 ,3,1.5 ,0
82,681.93 ,1,0.8 ,0
83,1240.41 ,7,5.0 ,1
84,1518.75 ,7,5.0 ,1
85,729.72 ,4,0.1 ,0
86,1500.00 ,8,3.3 ,1
